cartodb_id,from_iso,from_x,from_y,quantity,to_iso,to_x,to_y,created_at,updated_at,the_geom
1,,,,,,,,2012/04/22  0:16:18,2012/04/22  0:16:18,
2,IT,12.646361,42.504154,33,MC,7.412821,43.747981,2012/04/22  0:16:18,2012/04/22  0:16:18,
3,CU,-79.236672,21.946872,39,VE,-65.801997,7.61957,2012/04/22  0:16:18,2012/04/22  0:16:18,
4,HU,19.499349,47.060267,99,US,-97.922211,39.381266,2012/04/22  0:16:18,2012/04/22  0:16:18,
5,CA,-105.75059,55.585901,7,LV,24.862593,56.959065,2012/04/22  0:16:18,2012/04/22  0:16:18,
6,PK,69.385966,29.967022,93,MY,108.713972,3.198685,2012/04/22  0:16:18,2012/04/22  0:16:18,
7,CO,-73.073215,3.900749,960,TH,101.017438,15.127333,2012/04/22  0:16:18,2012/04/22  0:16:18,
8,MY,108.713972,3.198685,11,BM,-64.73701,32.31792,2012/04/22  0:16:18,2012/04/22  0:16:18,
9,JP,138.59223,36.386493,175,ES,-3.280887,40.304531,2012/04/22  0:16:18,2012/04/22  0:16:18,
10,SV,-88.866511,13.736897,7,SE,17.675409,64.964875,2012/04/22  0:16:18,2012/04/22  0:16:18,
11,FR,2.618787,47.824905,745,MG,46.705984,-19.373534,2012/04/22  0:16:18,2012/04/22  0:16:18,
12,SE,17.675409,64.964875,3,BR,-51.619789,-9.588903,2012/04/22  0:16:18,2012/04/22  0:16:18,
13,EE,25.761527,58.778397,1,NL,5.580444,52.274688,2012/04/22  0:16:18,2012/04/22  0:16:18,
14,GW,-14.963483,12.031701,27,ES,-3.280887,40.304531,2012/04/22  0:16:18,2012/04/22  0:16:18,
15,MW,33.739164,-13.215804,2,SG,103.808053,1.351616,2012/04/22  0:16:18,2012/04/22  0:16:18,
16,FR,2.618787,47.824905,208,BR,-51.619789,-9.588903,2012/04/22  0:16:18,2012/04/22  0:16:18,
17,PK,69.385966,29.967022,23,JO,36.435863,31.010192,2012/04/22  0:16:18,2012/04/22  0:16:18,
18,SE,17.675409,64.964875,6,MG,46.705984,-19.373534,2012/04/22  0:16:18,2012/04/22  0:16:18,
19,SC,52.229874,-6.354384,16,AU,134.489563,-25.734968,2012/04/22  0:16:18,2012/04/22  0:16:18,
20,BE,4.663989,50.642851,98,CZ,15.338412,49.742859,2012/04/22  0:16:18,2012/04/22  0:16:18,
